Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
4,12034,37746,13.1134,80.23527,10.55062,0.59831,0.02249,2.101e-05,104.54284
4,12034,37746,13.16346,80.17601,10.85896,0.60059,0.02249,1.831e-05,105.40342
Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
20,5831,44076,14.10102,80.61633,10.58638,0.80816,0.13412,0.00016942,106.26921
20,5831,44076,14.12938,80.46264,10.91994,0.80697,0.13399,0.00016736,107.05306
Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
50,4623,45298,14.36104,79.83613,10.63501,1.0301,0.26381,0.0003163,106.14856
50,4623,45298,14.37379,81.26412,10.24019,1.0312,0.26395,0.00031015,107.77288
Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
100,3839,45884,14.40992,79.76045,10.48056,1.48317,0.52236,0.00060121,106.67941
100,3839,45884,14.43435,79.7337,10.8295,1.48495,0.5199,0.00059863,107.60417
Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
200,3440,46277,14.66878,80.31394,10.60885,2.04348,0.83763,0.00093378,108.49688
200,3440,46277,15.15468,80.5267,10.2487,2.05324,0.83824,0.00094202,109.43855
Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
500,2927,46552,15.10488,80.24026,10.48978,3.76351,1.82236,0.00207045,111.44545
500,2927,46552,15.57822,80.20348,10.11763,3.76893,1.82252,0.00217675,112.13019
Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
1000,2579,46142,15.75462,79.56538,10.52528,6.64182,3.47652,0.003749,115.9918
1000,2579,46142,15.85328,79.73813,10.16639,6.64041,3.47669,0.00375593,116.55528
Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
2000,2429,45520,16.55954,80.37331,10.65318,8.59235,4.62582,0.00422418,120.8321
2000,2429,45520,16.66981,80.56764,10.26544,9.4361,4.63018,0.00435427,122.25953
Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
5000,2215,42780,19.10966,80.27715,10.6122,14.75784,8.01519,0.00497867,132.80236
5000,2215,42780,19.2304,80.5703,11.04688,14.32251,8.00834,0.00490364,133.94777
Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
10000,1997,37896,24.15858,80.11292,10.62772,20.73826,11.62113,0.00404984,147.29015
10000,1997,37896,23.74724,80.2162,11.0435,20.52989,11.62683,0.00432495,147.98244
Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
20000,1533,28012,39.80711,79.44911,10.57907,35.23499,21.20828,0.00415083,186.31165
20000,1533,28012,40.69739,80.01454,10.18425,35.63555,20.6239,0.00420463,188.09572
Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
50000,0,0,7.16704,80.26146,10.79678,76.54831,46.53018,0.00166896,221.34302
50000,0,0,7.09003,80.65415,10.45716,76.08853,47.11301,0.00169971,222.73219
