Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
100,0,0,0.04842,0.03996,0.12318,0.02845,2.29e-06,0.24016
100,0,0,0.04867,0.04022,0.12395,0.02879,3.82e-06,0.24204
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
215,0,0,0.09841,0.08673,0.26807,0.05712,0.00012576,0.5106
215,0,0,0.09832,0.08666,0.26824,0.0572,0.00012564,0.51124
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
464,0,0,0.20336,0.18629,0.57323,0.11759,4.15e-06,1.08065
464,0,0,0.20399,0.18579,0.57368,0.11758,3.69e-06,1.08269
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
1000,0,0,0.43448,0.40421,1.23816,0.25016,4.4e-06,2.32722
1000,0,0,0.43456,0.40161,1.23904,0.2504,3.99e-06,2.3307
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
2154,0,0,0.93454,0.86434,2.65967,0.54034,0.00028898,4.99939
2154,0,0,0.94617,0.86386,2.66598,0.54681,0.00031316,5.03558
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
4641,0,0,2.09217,1.86249,5.74477,1.1755,0.00048886,10.8757
4641,0,0,2.09558,1.86417,5.75004,1.17578,0.00050654,10.89072
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
10000,0,0,4.52959,4.03305,12.36507,2.53094,5.63e-06,23.459
10000,0,0,4.56504,4.02488,12.4083,2.5416,6.25e-06,23.54018
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
21544,0,0,10.12747,8.60027,26.61663,5.54461,7.04e-06,50.88952
21544,0,0,10.2007,8.60865,26.66531,5.59193,6.74e-06,51.06713
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
46416,0,0,22.20518,18.56827,57.5531,12.06563,7.12e-06,110.3931
46416,0,0,22.30383,18.54812,57.52372,12.09663,7.21e-06,110.47323
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
100000,0,0,47.84594,40.15692,123.91769,27.30285,6.99e-06,239.22515
100000,0,0,47.97516,40.09837,124.10898,26.00744,7.99e-06,238.19173
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
100,0,0,0.04839,0.03988,0.1234,0.02843,2.41e-06,0.24024
100,0,0,0.04843,0.03998,0.12356,0.02844,3.9e-06,0.2408
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
215,0,0,0.09821,0.08845,0.26733,0.05692,0.00012612,0.51117
215,0,0,0.09821,0.08855,0.26784,0.05703,0.00012716,0.51244
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
464,0,0,0.20575,0.1898,0.57616,0.11865,3.69e-06,1.09054
464,0,0,0.2059,0.18929,0.57689,0.11883,3.76e-06,1.09256
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
1000,0,0,0.43331,0.39979,1.23284,0.25575,4.12e-06,2.3219
1000,0,0,0.43298,0.39978,1.23537,0.25196,4.61e-06,2.32521
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
2154,0,0,0.94708,0.86328,2.65659,0.53571,0.000294,5.00315
2154,0,0,0.94921,0.8654,2.66616,0.54336,0.00031764,5.03704
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
4641,0,0,2.09822,1.87717,5.76724,1.1696,0.00046151,10.91297
4641,0,0,2.10108,1.8814,5.79482,1.18475,0.00050337,10.96713
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
10000,0,0,4.52482,4.0587,12.46354,2.54748,6.52e-06,23.5949
10000,0,0,4.61262,4.0486,12.50178,2.55768,5.99e-06,23.72106
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
21544,0,0,10.16391,8.65096,26.71899,5.55807,6.19e-06,51.09246
21544,0,0,10.19557,8.67232,26.80289,5.5688,6.58e-06,51.24013
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
46416,0,0,22.05997,18.70705,57.51067,12.03462,6.89e-06,110.31321
46416,0,0,22.23017,18.63451,57.62065,12.10761,8.79e-06,110.59387
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
100000,0,0,47.75962,40.17159,124.09941,27.36108,7.05e-06,239.39344
100000,0,0,48.02076,40.17137,124.38784,26.05696,7.5e-06,238.6387
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
215443,0,0,103.63401,86.30772,267.44108,56.43718,0.00016839,513.82369
215443,0,0,103.81485,86.66326,268.17354,56.55001,0.00018942,515.20541
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
215443,0,0,103.47821,86.13832,268.39283,56.20029,0.00016853,514.21334
215443,0,0,103.649,86.13127,268.50518,56.29514,0.00038397,514.58456
